0,x,y,z
C,3.0448406,-0.1981783,0
C,2.7150054,1.1252259,0
C,1.3063608,1.3500272,0
C,0.5956637,0.1829534,0
S,1.6363115,-1.2113539,0
I,-1.4949951,-0.0096125,0
H,4.0276523,-0.646473,0
H,3.4478929,1.9228896,0
H,0.8460469,2.3295547,0
