0,x,y,z
C,0.0000288,0.0000001,0.0000135
H,0.0581977,0.8938567,-0.6266174
H,0.0611286,-0.8912619,-0.6300243
H,-0.9482399,-0.0025941,0.5438951
H,0.8288841,-0.0000007,0.7127323
