s_values	dI_I
0.0	-1.6229685412229495e-13
0.02404809619238477	-3.324177914813128e-05
0.04809619238476954	-0.0001329818233416619
0.07214428857715431	-0.00029926426949602867
0.09619238476953908	-0.0005321627341929583
0.12024048096192384	-0.0008317803947751563
0.14428857715430862	-0.001198250100114103
0.1683366733466934	-0.0016317345079452648
0.19238476953907815	-0.002132426244856755
0.21643286573146292	-0.002700548084133642
0.24048096192384769	-0.003336353135130624
0.26452905811623245	-0.004040125036920176
0.28857715430861725	-0.004812178147228234
0.312625250501002	-0.005652857716251714
0.3366733466933868	-0.0065625400328853155
0.3607214428857715	-0.007541632528693684
0.3847695390781563	-0.008590573822784678
0.4088176352705411	-0.009709833687502958
0.43286573146292584	-0.010899912911713702
0.45691382765531063	-0.01216134303491387
0.48096192384769537	-0.013494685920447738
0.5050100200400801	-0.014900533131635961
0.5290581162324649	-0.016379505068368282
0.5531062124248497	-0.01793224981502725
0.5771543086172345	-0.01955944164286187
0.6012024048096193	-0.021261779100758393
0.625250501002004	-0.02303998261773299
0.6492985971943888	-0.024894791528596784
0.6733466933867736	-0.02682696041974774
0.6973947895791583	-0.02883725467612967
0.721442885771543	-0.030926445091127013
0.7454909819639278	-0.0330953013795813
0.7695390781563126	-0.03534458440866247
0.7935871743486974	-0.03767503693198711
0.8176352705410822	-0.040087372578659235
0.8416833667334669	-0.042582262809737474
0.8657314629258517	-0.045160321509176454
0.8897795591182365	-0.047822086824651375
0.9138276553106213	-0.05056799981311454
0.937875751503006	-0.05339837937712929
0.9619238476953907	-0.05631339289851598
0.9859719438877755	-0.059313021885178334
1.0100200400801602	-0.062397021842945447
1.034068136272545	-0.0655648754663773
1.0581162324649298	-0.06881573810862575
1.0821643286573146	-0.0721483743396876
1.1062124248496994	-0.07556108423382354
1.1302605210420842	-0.07905161783982542
1.154308617234469	-0.0826170760825056
1.1783567134268538	-0.08625379612214581
1.2024048096192386	-0.08995721896291398
1.2264529058116231	-0.0937217368586427
1.250501002004008	-0.09754051782268663
1.2745490981963927	-0.10140530432333036
1.2985971943887775	-0.10530618305814082
1.3226452905811623	-0.1092313225794113
1.346693386773547	-0.11316667553184326
1.370741482965932	-0.11709564241982041
1.3947895791583167	-0.1209986942232658
1.4188376753507015	-0.12485295193161758
1.442885771543086	-0.1286317222974853
1.4669338677354709	-0.13230399099490556
1.4909819639278556	-0.13583387710954956
1.5150300601202404	-0.13918005674078368
1.5390781563126252	-0.14229516874291304
1.56312625250501	-0.14512522258547084
1.5871743486973948	-0.14760903727120006
1.6112224448897796	-0.14967775145918874
1.6352705410821644	-0.15125445849895428
1.659318637274549	-0.1522540358208314
1.6833667334669338	-0.15258325543714432
1.7074148296593186	-0.1521412799123415
1.7314629258517034	-0.15082066386302034
1.7555110220440882	-0.148508991494072
1.779559118236473	-0.1450912811904786
1.8036072144288577	-0.14045327284962653
1.8276553106212425	-0.13448567576954068
1.8517034068136273	-0.12708938813079998
1.875751503006012	-0.1181815991912148
1.8997995991983967	-0.1077025527237521
1.9238476953907815	-0.0956225930673018
1.9478957915831663	-0.08194895160660459
1.971943887775551	-0.06673159048957758
1.9959919839679359	-0.05006733901455395
2.0200400801603204	-0.03210157468945934
2.0440881763527052	-0.013026844103077233
2.06813627254509	0.006921905064626249
2.092184368737475	0.02747542551854793
2.1162324649298596	0.048341116331361456
2.1402805611222444	0.06921592282163935
2.164328657314629	0.08980001460800664
2.188376753507014	0.10980996071315448
2.212424849699399	0.12899021717785686
2.2364729458917836	0.14712201593524132
2.2605210420841684	0.16402912960592622
2.284569138276553	0.1795804028971365
2.308617234468938	0.193689310091652
2.3326653306613228	0.2063110658362265
2.3567134268537075	0.21743796067199972
2.3807615230460923	0.22709362007783904
2.404809619238477	0.23532682247612882
2.4288577154308615	0.24220539220942294
2.4529058116232463	0.2478105411128165
2.476953907815631	0.252231892888079
2.501002004008016	0.2555633045258249
2.5250501002004007	0.2578995062489788
2.5490981963927855	0.2593335169443426
2.5731462925851702	0.2599547527208515
2.597194388777555	0.259847727006865
2.62124248496994	0.2590912359636622
2.6452905811623246	0.25775792795462427
2.6693386773547094	0.25591416632560166
2.693386773547094	0.25362010782955513
2.717434869739479	0.2509299326327271
2.741482965931864	0.24789217471125183
2.7655310621242486	0.24455011290316694
2.7895791583166334	0.24094219264066402
2.813627254509018	0.23710245642094704
2.837675350701403	0.23306096750426392
2.8617234468937873	0.2288442163473748
2.885771543086172	0.22447550310997977
2.909819639278557	0.21997529242700944
2.9338677354709417	0.21536153871717315
2.9579158316633265	0.210649981767995
2.9819639278557113	0.20585441334228466
3.006012024048096	0.20098691620484446
3.030060120240481	0.19605807736425385
3.0541082164328657	0.19107717753302028
3.0781563126252505	0.18605235888608276
3.1022044088176353	0.18099077318325035
3.12625250501002	0.1758987122470757
3.150300601202405	0.17078172267619415
3.1743486973947896	0.16564470654145935
3.1983967935871744	0.16049200967022884
3.2224448897795592	0.1553274989799336
3.246492985971944	0.15015463018187172
3.270541082164329	0.1449765070423819
3.2945891783567136	0.13979593326364956
3.318637274549098	0.1346154579310365
3.3426853707414828	0.12943741536863942
3.3667334669338675	0.12426396014871843
3.3907815631262523	0.11909709791451661
3.414829659318637	0.11393871259766102
3.438877755511022	0.1087905905414482
3.4629258517034067	0.10365444197745974
3.4869739478957915	0.09853192024632633
3.5110220440881763	0.09342463910090998
3.535070140280561	0.08833418838309902
3.559118236472946	0.08326214832170313
3.5831663326653307	0.0782101026583441
3.6072144288577155	0.07317965077073112
3.6312625250501003	0.06817241892667227
