,Q_vals,Br_ff,C_ff,H_ff
8,0.9696969696969697,33.40016929206786,5.435027730830506,0.8804346900122687
9,1.0909090909090908,33.01938521559697,5.302169095629434,0.8522491546585993
10,1.2121212121212122,32.61258635641483,5.161126175358162,0.8223035140264447
11,1.3333333333333335,32.18461838695453,5.013767971683954,0.7909913462730125
12,1.4545454545454546,31.74022381952888,4.861903574121915,0.75869485472773
13,1.5757575757575757,31.283936007596967,4.707242817703987,0.7257765093114755
14,1.696969696969697,30.819989706428224,4.551365062595504,0.692572297481621
15,1.8181818181818183,30.352250299467656,4.395696535027847,0.6593866984107238
16,1.9393939393939394,29.88416268026596,4.24149612043563,0.6264893851061831
17,2.0606060606060606,29.41871971639093,4.089849029276368,0.594113563267575
18,2.1818181818181817,28.958449274470098,3.9416673903328086,0.5624557784199035
19,2.303030303030303,28.505418002844777,3.7976965793696302,0.5316769675518964
20,2.4242424242424243,28.061249481596615,3.6585259645131036,0.5019044991420187
21,2.5454545454545454,27.627153972665152,3.524602734549755,0.47323493501513847
22,2.666666666666667,27.203966832507454,3.396247555110195,0.44573725620947136
23,2.787878787878788,26.792192669039753,3.2736709477114982,0.41945631904794717
24,2.909090909090909,26.392052505142264,3.156989482912598,0.3944163423799525
25,3.0303030303030303,26.00353151715506,3.0462410969561313,0.3706242678664952
26,3.1515151515151514,25.62642530939378,2.9413990595611685,0.34807287794360875
27,3.272727272727273,25.26038312568236,2.842384321645036,0.3267435971064988
28,3.393939393939394,24.90494685022617,2.7490761434587108,0.306608938676045
29,3.515151515151515,24.559585082173793,2.66132103892336,0.2876345894562603
30,3.6363636363636367,24.223721957072513,2.5789401686440234,0.2697811478002586
31,3.757575757575758,23.89676071766462,2.5017353738757846,0.2530055465074459
32,3.878787878787879,23.578102296964953,2.4294940712251285,0.23726220123871355
33,4.0,23.26715936579004,2.3619932294341393,0.22250392875442906
34,4.121212121212121,22.963366417869494,2.299002632284553,0.20868267848524985
35,4.242424242424242,22.666186525515464,2.240287602396507,0.19575011703749687
36,4.363636363636363,22.37511540745668,2.185611325633832,0.18365809944121558
37,4.484848484848485,22.08968341916028,2.1347368799493376,0.17235905433111637
38,4.606060606060606,21.809456016299606,2.0874290394605204,0.16180630364702317
39,4.7272727272727275,21.53403316481183,2.043455896666136,0.15195433144887677
40,4.848484848484849,21.26304808570039,2.0025903241456438,0.14275901142835432
41,4.96969696969697,20.99616563709182,1.9646112820198476,0.1341777988305371
