26,,,
C,-0.964997,0.58956,-0.015431
C,0.382688,0.588495,-0.022801
C,1.085437,-0.760043,-0.032062
C,0.295498,-1.843075,0.718349
C,-1.17888,-1.829876,0.362995
C,-1.740338,-0.651991,0.032041
C,1.250483,1.830392,-0.102292
C,-1.950321,-3.111835,0.490644
H,0.734469,-2.828307,0.515978
H,0.391448,-1.687697,1.80704
H,1.224241,-1.078686,-1.078709
H,2.09343,-0.674287,0.393506
H,-1.519803,1.522923,-0.057154
H,-2.80802,-0.59548,-0.17387
H,1.988417,1.75489,0.713782
C,2.052209,1.861637,-1.422989
C,0.489297,3.147995,0.089347
H,-1.565225,-3.883436,-0.191211
H,-1.862735,-3.52712,1.505777
H,-3.014362,-2.968836,0.275197
H,2.654135,0.956752,-1.558256
H,2.732963,2.720917,-1.44113
H,1.37451,1.946315,-2.281037
H,1.188688,3.99164,0.102248
H,-0.221097,3.322046,-0.727959
H,-0.069973,3.156626,1.031283
