0,x,y,z
C,0.000217,0.0000087,0.0011175
Cl,1.1191157,-0.3610958,-1.4276386
Cl,0.2225788,-1.2954589,1.3024211
Cl,0.4150237,1.6607365,0.7022311
Cl,-1.7569353,-0.0041904,-0.5781312
