0,x,y,z
C,1.9927827,0.4642018,-0.0000012
C,0.5415789,0.2125387,-0.0000007
C,-0.3539819,1.2955883,-0.0000001
H,0.0338786,2.3111647,0
C,-1.7323572,1.0664566,0.0000006
H,-2.4237371,1.9027231,0.0000012
C,-2.2190926,-0.2470151,0.0000005
H,-3.2897616,-0.4259861,0.0000009
C,-1.3289367,-1.3322633,-0.0000003
H,-1.7122254,-2.3474587,-0.0000005
C,0.0466956,-1.1050467,-0.0000008
H,0.7566396,-1.9252832,-0.0000013
O,2.8636219,-0.4219732,0.0000008
H,2.2863236,1.5304774,-0.0000036
