,x,y,z
C,-0.0000078,0,0.7676645
C,0.0000078,0,-0.7676645
H,1.0216754,0,1.165646
H,-0.5108947,-0.8848097,1.1657777
H,-0.5108947,0.8848097,1.1657777
H,0.5108947,-0.8848097,-1.1657777
H,0.5108947,0.8848097,-1.1657777
H,-1.0216754,0,-1.165646
